Load, Deviation
0, 0
1, 0.006
2, 0.38
3, 0.922
4, 0.994
5, 1.054
6, 1.152
7, 1.336
8, 1.494
9, 1.712
10, 1.844
11, 1.944
12, 1.958
13, 1.98
14, 1.97
15, 1.928
16, 1.884
17, 1.768
18, 1.694
17, 1.808
16, 1.878
15, 1.934
14, 1.968
13, 1.96
12, 1.962
11, 1.924
10, 1.874
9, 1.72
8, 1.528
7, 1.328
6, 1.146
5, 1.044
4, 1.002
3, 0.916
2, 0.4
1, 0.006
0, 0
