Load, Deviation
0, 0
1, 0.004
2, 0.38
3, 0.916
4, 1.006
5, 1.058
6, 1.15
7, 1.36
8, 1.596
9, 1.866
10, 2.048
11, 2.286
12, 2.498
13, 2.676
14, 2.94
15, 3.038
16, 3.126
17, 3.244
18, 3.378
19, 3.38
20, 3.472
21, 3.488
22, 3.546
23, 3.548
24, 3.56
25, 3.528
26, 3.482
27, 3.488
28, 3.348
29, 3.188
30, 3.054
31, 2.876
32, 2.824
33, 2.59
34, 2.428
35, 2.218
36, 2.01
37, 1.848
38, 1.694
39, 1.552
40, 1.426

