Load, Flux
0, 0
1, 169
2, 338
3, 506
4, 668
5, 821
6, 962
7, 1080
8, 1176
9, 1249
10, 1321
11, 1373
12, 1402
13, 1440
14, 1473
15, 1504
16, 1518
17, 1531
18, 1541
19, 1549
20, 1553
21, 1573
22, 1563
23, 1565
24, 1558
25, 1556
26, 1554
27, 1530
28, 1517
29, 1496
30, 1479
31, 1451
32, 1427
33, 1387
34, 1337
35, 1277
36, 1211
37, 1114
38, 991
39, 841
40, 655

