Load, Deviation
0, 0
1, 0.002
2, 0.376
3, 0.916
4, 0.998
5, 1.034
6, 1.128
7, 1.312
8, 1.524
9, 1.744
10, 1.856
11, 1.94
12, 1.962
13, 1.97
14, 1.968
15, 1.946
16, 1.902
17, 1.822
18, 1.716
17, 1.78
16, 1.894
15, 1.94
14, 1.974
13, 1.974
12, 1.972
11, 1.95
10, 1.866
9, 1.69
8, 1.502
7, 1.318
6, 1.13
5, 1.042
4, 1.006
3, 0.926
2, 0.41
1, 0.008
0, 0
