Deviation, Occurence
0, 0
1, 0
2, 0
3, 9
4, 43
5, 98
6, 98
7, 78
8, 72
9, 53
10, 27
11, 17
12, 5
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
