Deviation, Occurence
0, 0
1, 0
2, 4
3, 164
4, 186
5, 72
6, 40
7, 21
8, 5
9, 3
10, 2
11, 2
12, 1
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
