Deviation, Occurence
0, 0
1, 0
2, 0
3, 3
4, 19
5, 55
6, 68
7, 78
8, 111
9, 90
10, 54
11, 16
12, 6
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
