Deviation, Occurence
0, 0
1, 0
2, 0
3, 24
4, 95
5, 99
6, 77
7, 72
8, 61
9, 44
10, 18
11, 7
12, 2
13, 1
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
