Load, Deviation
0, 0
1, 0.004
2, 0.432
3, 0.892
4, 0.996
5, 1.058
6, 1.174
7, 1.342
8, 1.598
9, 1.85
10, 2.112
11, 2.3
12, 2.548
13, 2.734
14, 2.844
15, 3.014
16, 3.158
17, 3.26
18, 3.312
19, 3.46
20, 3.436
18, 3.558
17, 3.582
16, 3.584
15, 3.492
14, 3.48
13, 3.452
12, 3.43
11, 3.352
10, 3.138
9, 3.04
8, 2.962
7, 2.776
6, 2.52
5, 2.438
4, 2.224
3, 2.062
2, 1.86
1, 1.732
0, 1.522
