Deviation, Occurence
0, 0
1, 0
2, 1
3, 30
4, 108
5, 156
6, 69
7, 69
8, 34
9, 16
10, 11
11, 4
12, 2
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
