Deviation, Occurence
0, 0
1, 0
2, 0
3, 7
4, 55
5, 117
6, 78
7, 84
8, 68
9, 46
10, 34
11, 9
12, 2
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
