Deviation, Occurence
0, 0
1, 0
2, 0
3, 1
4, 20
5, 39
6, 92
7, 86
8, 95
9, 84
10, 57
11, 18
12, 8
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
