Deviation, Occurence
0, 0
1, 0
2, 0
3, 4
4, 30
5, 58
6, 82
7, 89
8, 87
9, 80
10, 53
11, 13
12, 4
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
