Deviation, Occurence
0, 0
1, 0
2, 0
3, 10
4, 54
5, 73
6, 76
7, 82
8, 69
9, 69
10, 46
11, 16
12, 3
13, 2
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
