Deviation, Occurence
0, 0
1, 0
2, 9
3, 225
4, 175
5, 62
6, 17
7, 9
8, 1
9, 1
10, 1
11, 0
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
