Deviation, Occurence
0, 0
1, 0
2, 0
3, 1
4, 16
5, 48
6, 84
7, 76
8, 90
9, 108
10, 50
11, 22
12, 5
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
