Deviation, Occurence
0, 0
1, 0
2, 0
3, 11
4, 54
5, 89
6, 83
7, 76
8, 77
9, 54
10, 42
11, 13
12, 1
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
