Deviation, Occurence
0, 0
1, 0
2, 0
3, 27
4, 129
5, 90
6, 90
7, 58
8, 37
9, 40
10, 17
11, 7
12, 4
13, 1
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
