Deviation, Occurence
0, 0
1, 0
2, 8
3, 101
4, 227
5, 128
6, 28
7, 5
8, 2
9, 1
10, 0
11, 0
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
