Deviation, Occurence
0, 0
1, 0
2, 1
3, 21
4, 69
5, 93
6, 75
7, 68
8, 80
9, 54
10, 25
11, 13
12, 1
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
