Deviation, Occurence
0, 0
1, 0
2, 2
3, 70
4, 163
5, 112
6, 63
7, 34
8, 29
9, 17
10, 6
11, 1
12, 3
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
