Deviation, Occurence
0, 0
1, 0
2, 0
3, 4
4, 21
5, 59
6, 72
7, 89
8, 94
9, 86
10, 52
11, 19
12, 4
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
