Deviation, Occurence
0, 0
1, 0
2, 14
3, 136
4, 239
5, 96
6, 11
7, 3
8, 0
9, 1
10, 0
11, 0
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
