Deviation, Occurence
0, 0
1, 0
2, 0
3, 9
4, 75
5, 99
6, 103
7, 74
8, 65
9, 45
10, 20
11, 7
12, 2
13, 1
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
