Deviation, Occurence
0, 0
1, 0
2, 0
3, 0
4, 19
5, 57
6, 84
7, 99
8, 98
9, 73
10, 46
11, 19
12, 4
13, 1
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
