Deviation, Occurence
0, 0
1, 0
2, 0
3, 46
4, 126
5, 115
6, 85
7, 52
8, 36
9, 14
10, 14
11, 7
12, 5
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
