Deviation, Occurence
0, 0
1, 0
2, 0
3, 5
4, 31
5, 74
6, 93
7, 91
8, 69
9, 61
10, 49
11, 18
12, 7
13, 2
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
