Deviation, Occurence
0, 0
1, 0
2, 1
3, 54
4, 162
5, 147
6, 78
7, 33
8, 12
9, 7
10, 3
11, 3
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
