Deviation, Occurence
0, 0
1, 0
2, 0
3, 1
4, 33
5, 45
6, 85
7, 93
8, 107
9, 76
10, 38
11, 19
12, 3
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
