Deviation, Occurence
0, 0
1, 0
2, 40
3, 307
4, 116
5, 23
6, 5
7, 5
8, 3
9, 1
10, 0
11, 0
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
