Deviation, Occurence
0, 0
1, 0
2, 0
3, 33
4, 135
5, 147
6, 83
7, 48
8, 32
9, 12
10, 4
11, 3
12, 2
13, 1
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
