Deviation, Occurence
0, 0
1, 0
2, 4
3, 71
4, 205
5, 134
6, 48
7, 23
8, 5
9, 6
10, 1
11, 2
12, 1
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
