Deviation, Occurence
0, 0
1, 0
2, 4
3, 97
4, 175
5, 117
6, 52
7, 19
8, 15
9, 8
10, 9
11, 3
12, 1
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
