Deviation, Occurence
0, 0
1, 0
2, 0
3, 5
4, 40
5, 69
6, 89
7, 80
8, 88
9, 71
10, 48
11, 10
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
