Deviation, Occurence
0, 0
1, 0
2, 0
3, 5
4, 34
5, 51
6, 72
7, 86
8, 94
9, 90
10, 49
11, 14
12, 4
13, 1
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
