Load, Flux
0, 601
1, 653
2, 706
3, 748
4, 793
5, 838
6, 873
7, 909
8, 944
9, 967
10, 986
11, 1015
12, 1036
13, 1056
14, 1073
15, 1082
16, 1097
17, 1104
18, 1114
19, 1117
20, 1128
21, 1118
22, 1118
23, 1118
24, 1114
25, 1101
26, 1097
27, 1080
28, 1075
29, 1056
30, 1037
31, 1020
32, 989
33, 969
34, 939
35, 898
36, 862
37, 828
38, 786
39, 737
40, 687
39, 728
38, 782
37, 838
36, 875
35, 907
34, 930
33, 964
32, 998
31, 1018
30, 1034
29, 1061
28, 1078
27, 1088
26, 1103
25, 1103
24, 1113
23, 1118
22, 1124
21, 1128
20, 1120
19, 1120
18, 1117
17, 1103
16, 1092
15, 1088
14, 1066
13, 1058
12, 1038
11, 1022
10, 994
9, 964
8, 938
7, 909
6, 875
5, 836
4, 793
3, 755
2, 702
1, 652
0, 604
