Load, Flux
0, 330
1, 402
2, 462
3, 528
4, 593
5, 656
6, 717
7, 780
8, 834
9, 891
10, 937
11, 989
12, 1044
13, 1084
14, 1121
15, 1159
16, 1197
17, 1227
18, 1245
19, 1271
20, 1297
21, 1305
22, 1319
23, 1331
24, 1343
25, 1337
26, 1344
27, 1347
28, 1339
29, 1324
30, 1312
31, 1302
32, 1274
33, 1255
34, 1231
35, 1200
36, 1160
37, 1118
38, 1077
39, 1032
40, 972
39, 1030
38, 1078
37, 1120
36, 1158
35, 1196
34, 1227
33, 1249
32, 1287
31, 1297
30, 1313
29, 1326
28, 1339
27, 1352
26, 1340
25, 1344
24, 1337
23, 1330
22, 1320
21, 1309
20, 1293
19, 1265
18, 1250
17, 1224
16, 1193
15, 1164
14, 1118
13, 1078
12, 1040
11, 991
10, 941
9, 890
8, 840
7, 775
6, 718
5, 658
4, 589
3, 528
2, 461
1, 398
0, 334
