State, Probability
0, 0.00486591
1, 0.00789993
2, 0.00908205
3, 0.0104016
4, 0.0119119
5, 0.0134543
6, 0.0154223
7, 0.0182775
8, 0.0213863
9, 0.0248139
10, 0.0296264
11, 0.0356518
12, 0.0421921
13, 0.049936
14, 0.0591941
15, 0.0704923
16, 0.0838506
17, 0.101301
18, 0.124367
19, 0.155775
20, 0.0928659
21, 0.0156451
22, 0.00151835
23, 6.67111e-05
24, 2.66845e-06
