State, Probability
0, 0.152467
1, 0.130696
2, 0.110677
3, 0.0946956
4, 0.0807977
5, 0.0694613
6, 0.0592222
7, 0.0505067
8, 0.0429051
9, 0.0368714
10, 0.0311962
11, 0.0263706
12, 0.0222184
13, 0.0187661
14, 0.0161129
15, 0.0138371
16, 0.0115566
17, 0.00995746
18, 0.00848897
19, 0.00725408
20, 0.00594173
