State, Probability
0, 0.00582546
1, 0.00684152
2, 0.00819868
3, 0.00987052
4, 0.0115838
5, 0.0138679
6, 0.0160956
7, 0.0191322
8, 0.0228021
9, 0.0270057
10, 0.031382
11, 0.036947
12, 0.0432058
13, 0.0504292
14, 0.0590365
15, 0.0687223
16, 0.0802317
17, 0.0946506
18, 0.110931
19, 0.130458
20, 0.152782
