State, Probability
0, 0.111517
1, 0.149736
2, 0.129637
3, 0.104877
4, 0.0858866
5, 0.0703616
6, 0.0583215
7, 0.0481107
8, 0.0405404
9, 0.0336718
10, 0.0287512
11, 0.0245203
12, 0.021066
13, 0.0188232
14, 0.0161441
15, 0.0138479
16, 0.011972
17, 0.010539
18, 0.0091541
19, 0.00808672
20, 0.00386658
21, 0.000536358
22, 3.20213e-05
23, 1.33422e-06
24, 0
