State, Probability
0, 0.0458499
1, 0.0467739
2, 0.0469447
3, 0.0472974
4, 0.0477104
5, 0.0488641
6, 0.0485608
7, 0.048311
8, 0.0478488
9, 0.0481459
10, 0.0484946
11, 0.0481039
12, 0.0479835
13, 0.0478679
14, 0.0478057
15, 0.0478445
16, 0.0476706
17, 0.0474517
18, 0.0472722
19, 0.0467637
20, 0.046435
