Load, Flux
0, 587
1, 711
2, 835
3, 940
4, 984
5, 1042
6, 1085
7, 1103
8, 1099
9, 1109
10, 1094
11, 1085
12, 1025
13, 974
14, 899
15, 777
16, 691
15, 793
14, 896
13, 974
12, 1025
11, 1078
10, 1104
9, 1104
8, 1119
7, 1110
6, 1101
5, 1040
4, 975
3, 907
2, 836
1, 709
0, 601
