Load, Flux
0, 324
1, 498
2, 650
3, 806
4, 934
5, 1057
6, 1144
7, 1225
8, 1291
9, 1328
10, 1325
11, 1330
12, 1283
13, 1246
14, 1177
15, 1084
16, 945
15, 1093
14, 1185
13, 1273
12, 1302
11, 1330
10, 1330
9, 1302
8, 1272
7, 1203
6, 1141
5, 1047
4, 928
3, 806
2, 639
1, 491
0, 316
