Load, Flux
0, 0
1, 169
2, 337
3, 503
4, 665
5, 824
6, 958
7, 1080
8, 1170
9, 1249
10, 1306
11, 1370
12, 1414
13, 1442
14, 1464
15, 1487
16, 1509
17, 1527
18, 1533
19, 1550
20, 1558
18, 1558
17, 1564
16, 1569
15, 1563
14, 1549
13, 1549
12, 1535
11, 1518
10, 1505
9, 1481
8, 1458
7, 1430
6, 1383
5, 1327
4, 1269
3, 1198
2, 1111
1, 999
0, 841
