Deviation
2.58091
4.46397
3.07897
2.79738
2.7044
1.94951
2.39383
2.07619
4.22627
5.62995
4.43268
2.79727
4.08831
2.25373
3.60589
4.56834
4.0884
3.27401
5.15808
2.75394
1.84754
3.55287
1.99966
3.01566
4.41649
3.27787
3.65621
2.71171
2.73332
2.58072
2.70708
2.75329
2.95604
2.18792
2.66857
2.11325
3.33621
2.83849
2.97132
3.30812
3.15203
2.11427
2.52357
2.47073
3.20303
2.5612
3.20679
3.60018
4.32337
2.27585
2.91412
3.80652
3.33333
2.01075
4.8808
2.00914
4.93743
2.83953
2.09227
2.22228
3.94171
2.9994
3.13253
1.99367
5.32894
2.38928
2.92165
3.12162
5.10017
4.74922
3.34352
2.74088
3.54411
3.67472
2.97982
2.21526
2.69074
3.24991
4.58387
3.4213
2.25321
2.8456
2.60262
3.49417
2.94344
2.02518
2.03725
2.02982
2.31484
4.94834
3.48112
2.10796
2.69249
3.794
3.25452
4.16878
2.05182
2.16911
1.9363
4.95473
4.19788
2.37871
3.75659
2.59448
3.39562
4.01875
2.69892
3.45379
4.85417
1.69865
3.58126
2.63132
2.20528
4.51696
2.83061
3.17752
1.81866
2.22171
2.99472
1.74583
2.41438
3.22715
2.57502
2.6083
3.26838
3.33268
2.38636
3.46597
1.60903
2.60277
1.89453
4.94433
4.84797
4.2015
2.89668
2.08683
2.89759
4.18965
2.93918
4.17162
1.83321
2.4809
2.94194
2.71637
3.73683
2.52485
4.84532
1.91578
2.74438
1.97599
2.1033
3.51347
2.62845
3.30284
4.20236
3.12156
3.339
2.74131
3.91486
3.97164
1.82431
4.01353
3.00446
2.58543
1.86633
1.98648
2.24283
3.56724
2.39841
4.78504
2.61484
2.24148
2.07113
1.98366
3.69104
2.21105
2.32275
5.10181
2.90921
2.61184
2.24763
2.46151
4.01956
2.55058
2.36843
2.44031
2.20056
2.52935
4.54116
3.67651
3.2182
2.25199
4.65408
2.05178
2.88505
4.49836
4.34303
2.87865
3.66604
2.33621
2.16902
3.64878
2.80151
4.27133
3.15648
2.60605
3.24082
2.06502
2.33466
4.23591
5.87725
4.94033
2.19824
5.54188
2.70099
2.87142
2.62673
2.57795
3.01725
3.70331
4.6957
2.37364
2.53148
4.65782
1.72345
2.17777
4.43803
3.46042
1.60109
4.07495
2.30593
2.4779
2.13182
5.39814
3.22727
3.77336
2.60721
5.08425
2.09162
4.00355
4.27837
2.68644
2.3018
2.28878
2.74005
3.42957
4.29198
4.06076
3.86469
2.36938
4.05058
3.49431
5.41614
2.61761
2.25769
2.78519
3.69807
3.19399
2.16933
3.3587
2.17502
4.32294
5.05331
2.73282
3.88192
3.37012
3.76032
4.88011
4.79378
2.69037
2.78346
4.6172
1.93397
3.16621
1.88629
4.31038
2.32667
4.66485
2.22105
4.06206
1.88004
5.82032
2.22378
3.55973
2.70085
3.07464
2.08208
2.2134
1.82925
4.65713
2.67521
2.41621
3.52052
2.76498
4.96927
4.06939
1.6435
4.59769
1.90187
5.49606
5.28273
2.41393
3.12592
4.18687
2.13806
3.99468
2.98603
3.93529
2.67536
3.20352
2.43282
2.62841
2.45995
2.90789
2.34668
2.83566
4.82078
3.21659
4.48094
4.6384
1.98791
2.74274
3.05375
3.78031
4.5178
2.91032
2.74666
2.62628
2.17281
3.72304
5.69421
5.16748
2.23605
2.26436
2.27288
2.14374
5.02631
3.15492
3.56004
2.64925
2.54307
2.66478
2.57783
5.13847
2.22466
3.05403
2.02184
4.0575
2.83165
2.82746
3.28098
4.62973
3.32163
2.06535
2.39575
2.92678
3.50926
4.08715
2.07737
1.61608
3.38573
2.44833
2.1591
4.43977
3.48411
2.8041
5.29461
4.65578
2.2625
3.73544
3.23855
3.37898
3.38457
3.88119
3.50819
4.9478
3.02614
3.84531
3.55546
3.61808
1.8597
3.98505
4.43792
1.92747
2.68373
2.20554
3.11641
3.50254
3.92739
2.25512
3.93425
4.18092
1.82173
2.04373
4.06044
2.69798
2.81111
1.98307
4.44128
5.12802
3.36471
2.89285
3.80883
3.06854
3.347
2.8577
2.81825
3.84319
2.29357
3.60619
2.85794
2.5345
4.23184
2.69201
2.96752
3.6388
1.98598
2.68636
1.7125
2.42212
3.28203
2.93718
5.62852
2.01339
2.9731
2.04421
2.50309
3.91834
1.90156
2.73192
2.95978
2.71211
3.01159
3.03662
2.51009
2.17885
4.14046
3.33421
4.15377
2.59092
2.22369
2.64414
3.05573
3.8659
1.94115
4.99291
2.26341
3.05419
1.60213
2.37772
2.59606
5.19363
3.74265
4.74988
4.05232
3.18778
3.92861
3.74951
3.54494
2.42233
3.29993
2.17966
3.72501
4.84686
1.92594
2.4434
3.56941
3.10598
2.86551
2.20936
5.45294
2.75212
2.88742
5.58921
2.935
2.2602
3.09706
5.56994
3.56623
2.44593
3.52155
5.13908
2.04532
4.07339
2.78357
2.85138
1.95639
2.33349
2.66754
1.82189
4.70252
1.91081
4.09879
2.29861
5.25107
4.64893
1.61353
2.22303
3.49386
3.84936
