State, Probability
0, 0.0663909
1, 0.0988953
2, 0.0997131
3, 0.0960707
4, 0.0943869
5, 0.0930474
6, 0.0929246
7, 0.0952315
8, 0.0970554
9, 0.102434
10, 0.0548819
11, 0.0083042
12, 0.00063509
13, 2.93529e-05
14, 0
