Load, Deviation
0, 0
1, 0.01
2, 0.36
3, 0.906
4, 0.998
5, 1.05
6, 1.19
7, 1.34
8, 1.63
9, 1.822
10, 2.128
11, 2.302
12, 2.532
13, 2.668
14, 2.772
15, 3.094
16, 3.156
17, 3.258
18, 3.276
19, 3.44
20, 3.476
21, 3.556
22, 3.58
23, 3.578
24, 3.566
25, 3.528
26, 3.396
27, 3.32
28, 3.278
29, 3.152
30, 3.046
31, 2.96
32, 2.742
33, 2.534
34, 2.438
35, 2.264
36, 2.106
37, 1.882
38, 1.698
39, 1.562
