State, Probability
0, 0.0903796
1, 0.090981
2, 0.0914396
3, 0.0911478
4, 0.0902944
5, 0.0910493
6, 0.0912577
7, 0.0908479
8, 0.0912856
9, 0.0906651
10, 0.090652
