Load, Flux
0, 338
1, 407
2, 470
3, 537
4, 601
5, 671
6, 731
7, 796
8, 852
9, 904
10, 959
11, 1004
12, 1051
13, 1101
14, 1137
15, 1172
16, 1209
17, 1245
18, 1271
19, 1286
20, 1314
21, 1330
22, 1343
23, 1357
24, 1371
25, 1368
26, 1370
27, 1367
28, 1360
29, 1354
30, 1334
31, 1320
32, 1302
33, 1272
34, 1251
35, 1215
36, 1180
37, 1140
38, 1087
39, 1041
40, 988
39, 1052
38, 1096
37, 1142
36, 1178
35, 1212
34, 1257
33, 1276
32, 1285
31, 1319
30, 1347
29, 1355
28, 1355
27, 1364
26, 1366
25, 1371
24, 1361
23, 1358
22, 1347
21, 1329
20, 1312
19, 1298
18, 1266
17, 1241
16, 1208
15, 1179
14, 1135
13, 1101
12, 1052
11, 1002
10, 953
9, 906
8, 849
7, 788
6, 730
5, 669
4, 601
3, 539
2, 472
1, 404
0, 340
