Load, Flux
0, 335
1, 397
2, 469
3, 535
4, 596
5, 661
6, 716
7, 786
8, 840
9, 899
10, 945
11, 1005
12, 1047
13, 1087
14, 1128
15, 1167
16, 1201
17, 1228
18, 1251
19, 1271
20, 1280
21, 1296
22, 1312
23, 1320
24, 1323
25, 1322
26, 1310
27, 1286
28, 1258
29, 1249
30, 1226
31, 1213
32, 1177
33, 1140
34, 1091
35, 1030
36, 970
37, 907
38, 834
39, 762
40, 658
39, 754
38, 841
37, 902
36, 970
35, 1034
34, 1084
33, 1123
32, 1171
31, 1198
30, 1231
29, 1261
28, 1269
27, 1291
26, 1316
25, 1312
24, 1318
23, 1307
22, 1302
21, 1293
20, 1289
19, 1268
18, 1256
17, 1225
16, 1192
15, 1164
14, 1122
13, 1089
12, 1045
11, 1005
10, 946
9, 894
8, 839
7, 781
6, 720
5, 661
4, 599
3, 535
2, 467
1, 402
0, 334
