Load, Deviation
0, 0
1, 0.054
2, 0.82
3, 1.106
4, 1.47
5, 1.84
6, 2.204
7, 2.586
8, 2.928
9, 3.174
10, 3.482
11, 3.732
12, 3.976
13, 4.19
14, 4.378
15, 4.52
16, 4.706
17, 4.762
18, 4.932
19, 4.936
20, 5.018
21, 4.99
22, 4.948
23, 4.992
24, 4.978
25, 4.908
26, 4.768
27, 4.656
28, 4.498
29, 4.36
30, 4.142
31, 3.952
32, 3.638
33, 3.406
34, 3.12
35, 2.758
36, 2.394
37, 2.026
38, 1.546
39, 1.088
40, 0.38

