Load, Flux
0, 0
1, 865
2, 1091
3, 1248
4, 1265
5, 1327
6, 1310
7, 1255
8, 1261
9, 1214
10, 1129
11, 1104
12, 1049
13, 898
14, 881
15, 849
16, 707
17, 660
18, 559
19, 470
20, 414
21, 426
22, 382
23, 321
24, 287
25, 261
26, 266
27, 254
28, 259
29, 251
30, 258
31, 241
32, 281
33, 277
34, 272
35, 258
36, 250
37, 240
38, 197
39, 177
40, 143
41, 134
42, 98
43, 80
44, 69
45, 69
44, 120
43, 130
42, 143
41, 145
40, 157
39, 201
38, 190
37, 221
36, 277
35, 286
34, 313
33, 281
32, 318
31, 321
30, 345
29, 367
28, 396
27, 364
26, 374
25, 402
24, 362
23, 422
22, 492
21, 519
20, 558
19, 622
18, 700
17, 708
16, 822
15, 899
14, 1008
13, 1015
12, 1039
11, 1139
10, 1127
9, 1180
8, 1278
7, 1205
6, 1269
5, 1335
4, 1311
3, 1219
2, 1073
1, 903
0, 0
