Load, Flux
0, 0
1, 164
2, 330
3, 494
4, 651
5, 795
6, 936
7, 1049
8, 1150
9, 1224
10, 1281
11, 1315
12, 1336
13, 1329
14, 1299
15, 1260
16, 1186
17, 1093
18, 973
17, 1096
16, 1188
15, 1253
14, 1305
13, 1326
12, 1332
11, 1324
10, 1286
9, 1223
8, 1147
7, 1047
6, 931
5, 796
4, 651
3, 493
2, 331
1, 165
0, 0
