Load, Deviation
0, 0
1, 1.22557
2, 1.06339
3, 1.32147
4, 1.52009
5, 1.67166
6, 1.78841
7, 1.5339
8, 1.55088
9, 1.55582
10, 1.55764
11, 1.55372
12, 1.5407
13, 1.5176
14, 1.49927
15, 1.76099
16, 1.66079
17, 1.52804
18, 1.37597
17, 1.51685
16, 1.66029
15, 1.76872
14, 1.4965
13, 1.52219
12, 1.54192
11, 1.56046
10, 1.56601
9, 1.55195
8, 1.53561
7, 1.52392
6, 1.78493
5, 1.66994
4, 1.5267
3, 1.308
2, 1.06988
1, 1.21875
0, 0
