Load, Deviation
0, 0
1, 6.79191
2, 10.2211
3, 12.655
4, 16.3725
5, 16.8467
6, 17.9691
7, 18.6674
8, 21.0102
9, 24.286
10, 26.8145
11, 25.5221
12, 31.2795
13, 32.2282
14, 33.13
15, 33.899
16, 29.2641
17, 34.074
18, 35.0691
17, 26.8235
16, 35.1372
15, 34.2203
14, 37.7411
13, 30.8219
12, 31.1519
11, 31.7824
10, 27.0333
9, 24.7762
8, 22.7187
7, 19.6591
6, 16.8389
5, 16.6625
4, 15.1182
3, 13.4428
2, 11.5261
1, 6.7624
0, 0
