Load, Flux
0, 481
1, 591
2, 592
3, 592
4, 563
5, 555
6, 489
7, 439
8, 383
9, 346
10, 287
11, 228
12, 217
13, 202
14, 182
15, 143
16, 116
15, 306
14, 308
13, 237
12, 286
11, 316
10, 354
9, 408
8, 436
7, 474
6, 489
5, 474
4, 423
3, 429
2, 389
1, 370
0, 281
