State, Probability
0, 0.727467
1, 0.0281075
2, 0.0144624
3, 0.0101343
4, 0.00887911
5, 0.00941698
6, 0.0114336
7, 0.0156891
8, 0.0240194
9, 0.0445207
10, 0.10587
