State, Probability
0, 0.110683
1, 0.0229121
2, 0.0185857
3, 0.0333765
4, 0.0336037
5, 0.0244768
6, 0.0153654
7, 0.0144195
8, 0.0249755
9, 0.0205211
10, 0.68108
