State, Probability
0, 0.740096
1, 0.0390217
2, 0.011926
3, 0.007809
4, 0.00636483
5, 0.006359
6, 0.00798952
7, 0.0112505
8, 0.0218722
9, 0.0648362
10, 0.0824749
