State, Probability
0, 0.0642402
1, 0.0991979
2, 0.102515
3, 0.0978109
4, 0.0946266
5, 0.0950543
6, 0.095401
7, 0.0962159
8, 0.0977762
9, 0.102579
10, 0.0545834
