State, Probability
0, 0.0907574
1, 0.0908877
2, 0.0911929
3, 0.0916187
4, 0.0910129
5, 0.0899028
6, 0.0902852
7, 0.0905384
8, 0.0916919
9, 0.0918314
10, 0.0902807
