iterations, deviation
0, 0.00563123
1, 0.000265601
2, 0.000315727
3, 0.00046555
4, 0.000747976
5, 0.000518325
6, 0.000814718
7, 0.000281634
8, 0.000533961
9, 0.000741397
10, 0.000459559
11, 0.000336049
12, 0.000535254
13, 0.000188743
14, 0.000675834
15, 0.00102812
16, 0.000553983
17, 8.72896e-05
18, 0.000583785
19, 0.000163985
20, 0.000277474
21, 0.000444128
22, 0.000916025
23, 0.000292659
24, 0.00014602
25, 0.000296583
26, 0.000415613
27, 0.000229223
28, 0.000668333
29, 0.000472911
30, 0.000326429
31, 0.000404574
32, 0.000168012
33, 0.000228655
34, 0.000454705
35, 0.000731998
36, 0.000387502
37, 0.000183596
38, 0.00024687
39, 0.000237399
40, 0.000393092
41, 0.000358608
42, 0.000852969
43, 0.0010977
44, 0.000451509
45, 0.000249204
46, 0.00114011
47, 0.000813614
48, 0.00163801
49, 0.000579752
50, 0.00150468
51, 9.45032e-05
52, 0.0001239
53, 0.000114941
54, 0.000118211
55, 0.000452613
56, 0.000611397
57, 0.000228948
58, 0.000244429
59, 0.000794757
60, 0.000265762
61, 0.000372809
62, 0.000849635
63, 0.00035306
64, 0.000430577
65, 0.000169441
66, 0.0002463
67, 8.54887e-05
68, 0.000618142
69, 0.000314948
70, 0.00111528
71, 0.000183438
72, 0.000906516
73, 0.000617534
74, 0.000345128
75, 0.000727681
76, 0.000909998
77, 0.000835797
78, 0.000631875
79, 0.000344992
80, 0.000110206
81, 0.000183776
82, 0.0010308
83, 0.000684148
84, 0.000702952
85, 0.000958481
86, 0.000777756
87, 0.000178575
88, 0.000624406
89, 0.000668274
90, 0.000329797
91, 0.000377084
92, 0.000673004
93, 0.00015553
94, 0.000174981
95, 0.000395307
96, 0.000954355
97, 0.000731938
98, 0.000277574
99, 0.00153149
100, 0.000506378
101, 0.000584979
102, 0.000611531
103, 0.000270653
104, 0.000199021
105, 0.000421905
106, 0.000999854
107, 0.00039455
108, 0.000641167
109, 0.000345551
110, 0.000196145
111, 0.000234973
112, 0.000313142
113, 0.00026075
114, 0.00139216
115, 0.000286578
116, 0.000115064
117, 0.000216305
118, 0.000373412
119, 0.000260728
120, 0.000544774
121, 0.000325474
122, 0.000501463
123, 0.000441084
124, 0.000330112
125, 9.54453e-05
126, 0.000378458
127, 0.000353494
128, 0.000363881
129, 0.000443373
130, 0.000261535
131, 0.00101385
132, 0.000284764
