iterations, deviation
0, 0.00548384
1, 0.00149416
2, 0.00078656
3, 0.00100952
4, 0.00036176
5, 0.00034896
6, 0.00049144
7, 0.00100976
8, 0.00068552
9, 0.0012968
10, 0.00050232
11, 0.00045472
12, 0.00060576
13, 0.00062008
14, 0.00124608
15, 0.00063496
16, 0.00029032
17, 0.00090368
18, 0.0008652
19, 0.0010712
20, 0.00145784
21, 0.00104832
22, 0.0005452
23, 0.00045456
24, 0.00074032
25, 0.0011096
26, 0.00019616
27, 0.00067856
28, 0.00033856
29, 0.00100488
30, 0.00085328
31, 0.0006204
32, 0.00101912
33, 0.00046656
34, 0.0007716
35, 0.00109344
36, 0.0003008
37, 0.0019636
38, 0.0024348
39, 0.00074304
40, 0.00084536
41, 0.00042744
42, 0.00064872
43, 0.00063568
44, 0.00064968
45, 0.00066688
46, 0.00194688
47, 0.00050552
48, 0.00114072
49, 0.0005204
50, 0.00145648
51, 0.00070496
52, 0.00083104
53, 0.00066664
54, 0.00035352
55, 0.00072384
56, 0.00078432
57, 0.00099408
58, 0.00139
59, 0.00037216
60, 0.0004292
61, 0.00069248
62, 0.00094072
63, 0.00048336
64, 0.00022576
65, 0.00042296
66, 0.00050952
67, 0.00040496
68, 0.00084368
69, 0.00067208
70, 0.00117784
71, 0.0003172
72, 0.00049104
73, 0.00112576
74, 0.00012368
75, 0.0020852
76, 0.00114048
77, 0.00061336
78, 0.00051176
79, 0.00167872
80, 0.00050768
81, 0.00031312
82, 0.000524
83, 0.00029992
84, 0.00058344
85, 0.00158264
86, 0.00095712
87, 0.00138176
88, 0.00044432
89, 0.00046424
90, 0.0004632
91, 0.00058584
92, 0.00092432
93, 0.00075944
94, 0.00067816
95, 0.00059472
96, 0.00054664
97, 0.00116944
98, 0.00041472
99, 0.0014188
100, 0.000744
101, 0.0011212
102, 0.0011208
103, 0.00106696
104, 0.00083456
105, 0.00070208
106, 0.00126784
107, 0.00146912
108, 0.00070864
109, 0.00058904
110, 0.0005952
111, 0.00033792
112, 0.00115432
113, 0.0016632
114, 0.00038056
115, 0.0009916
116, 0.00048984
117, 0.00027432
118, 0.00030368
119, 0.00050224
120, 0.00025752
121, 0.00069032
122, 0.00082624
123, 0.00050976
124, 0.00054432
125, 0.00095536
126, 0.00045256
127, 0.0001692
128, 0.0019444
129, 0.00029376
130, 0.00046072
131, 0.00116792
132, 0.00053448
